tweets,quote_status,language,favorite_count,retweet_count,time,id,processed_text,cleaned_tweets,polarity,subjectivity
@crazyjanewlw barchie is sexc,False,en,0,0,2021-02-26 00:39:45,1365099194860584960,"['barchie', 'sexc']",barchie sexc,0.0,0.0
"RT @barchieanalyses: I made an analysis on Instagram for anyone who wants to read- I seen a lot of complaints on the tl yesterday, but yest…",False,en,0,2,2021-02-26 00:39:36,1365099158701568001,"['made', 'analysis', 'instagram', 'anyone', 'wants', 'read', 'seen', 'lot', 'complaints', 'tl', 'yesterday', 'yest']",made analysis instagram anyone wants read seen lot complaints tl yesterday yest,0.2,0.1
RT @augustbarchie: just say you’re sad bughead had zero sex appeal and leave!,False,en,0,1,2021-02-26 00:39:32,1365099140745748482,"['say', 'sad', 'bughead', 'zero', 'sex', 'appeal', 'leave']",say sad bughead zero sex appeal leave,-0.625,1.0
@senfai27 be gone barchie stan,False,en,0,0,2021-02-26 00:39:08,1365099039935631369,"['gone', 'barchie', 'stan']",gone barchie stan,0.0,0.0
RT @barchie_gifs: UPDATED HD https://t.co/seFyQyMZ1D,False,en,0,39,2021-02-26 00:39:06,1365099034994688000,"['updated', 'hd']",updated hd,0.0,0.0
RT @augustbarchie: some of y’all’s takes are just so bad that i don’t feel bad that ppl are being mean. you can’t fix stupid! https://t.co/…,False,en,0,5,2021-02-26 00:39:02,1365099014602031109,"['takes', 'bad', 'feel', 'bad', 'ppl', 'mean', 'fix', 'stupid']",takes bad feel bad ppl mean fix stupid,-0.6781249999999999,0.7552083333333333
RT @chonicarrington: cheryl making tiktoks alone in thornhill https://t.co/CZxBlIP9ck,False,en,0,4,2021-02-26 00:38:44,1365098942040596480,"['cheryl', 'making', 'tiktoks', 'alone', 'thornhill']",cheryl making tiktoks alone thornhill,0.0,0.0
RT @augustbarchie: WHAT IF THE AFTER THE KEY PARTY ARCHIE SHOWS UP AT BETTYS PORCH AGAIN AHHHHH,False,en,0,2,2021-02-26 00:38:19,1365098834486059015,"['key', 'party', 'archie', 'shows', 'bettys', 'porch', 'ahhhhh']",key party archie shows bettys porch ahhhhh,0.0,1.0
RT @slowburnsftw: the way that ba have always been so comfortable being intimate &amp; now they have this fiery passion. it just hits,False,en,0,8,2021-02-26 00:38:12,1365098807101427713,"['way', 'ba', 'always', 'comfortable', 'intimate', 'amp', 'fiery', 'passion', 'hits']",way ba always comfortable intimate amp fiery passion hits,0.30000000000000004,0.7
"RT @barchanted: @slowburnsftw BH and VA were together 3 episodes ago... I can promise you, anyone who just wants to watch good TV does not…",False,en,0,3,2021-02-26 00:38:08,1365098788403167232,"['bh', 'va', 'together', '3', 'episodes', 'ago', 'promise', 'anyone', 'wants', 'watch', 'good', 'tv']",bh va together 3 episodes ago promise anyone wants watch good tv,0.44999999999999996,0.35000000000000003
RT @Barchiedaily: 4 fancams in the works....yikes,False,en,0,1,2021-02-26 00:37:37,1365098660216856578,"['4', 'fancams', 'works', 'yikes']",4 fancams works yikes,0.0,0.0
