tweets,quote_status,language,favorite_count,retweet_count,time,id,processed_text,cleaned_tweets
Is it just me or does cole sprouse look like he aged 20 years during the #Riverdale time jump 💀💀,False,en,5,0,2021-02-25 21:57:33,1365058377110466566,"['cole', 'sprouse', 'look', 'like', 'aged', '20', 'years', 'riverdale', 'time', 'jump']",cole sprouse look like aged 20 years riverdale time jump
i drew #bettycooper before the time jump how did i do ? #Riverdale @lilireinhart @marisolnichols @CW_Riverdale @camilamendes @madchenamick https://t.co/QaLGYWuK5b,False,en,1,0,2021-02-25 21:17:52,1365048389549907973,"['drew', 'bettycooper', 'time', 'jump', 'riverdale']",drew bettycooper time jump riverdale
"my sister is trying to explain time jump Riverdale to me and just said, and I quote, ""do you remember the Ghoulies? they were all on Jingle Jangle?""",False,en,144,5,2021-02-25 21:05:07,1365045184107528202,"['sister', 'trying', 'explain', 'time', 'jump', 'riverdale', 'said', 'quote', 'remember', 'ghoulies', 'jingle', 'jangle']",sister trying explain time jump riverdale said quote remember ghoulies jingle jangle
"@VanessaMorgan i love Time Jump Toni.
Shes should be mayor of Riverdale!!!",False,en,0,0,2021-02-25 21:02:11,1365044443431251976,"['love', 'time', 'jump', 'toni', 'shes', 'mayor', 'riverdale']",love time jump toni shes mayor riverdale
I am catching up on the time-jump riverdale episodes please pray for me,False,en,2,0,2021-02-25 20:59:26,1365043750779650051,"['catching', 'time', 'jump', 'riverdale', 'episodes', 'please', 'pray']",catching time jump riverdale episodes please pray
UGH i have finally made it to the 7 year time jump in riverdale... veronica u shouldve married ME not chad,False,en,0,0,2021-02-25 20:47:59,1365040871780069380,"['ugh', 'finally', 'made', '7', 'year', 'time', 'jump', 'riverdale', 'veronica', 'u', 'shouldve', 'married', 'chad']",ugh finally made 7 year time jump riverdale veronica u shouldve married chad
I don't know why Riverdale decided to time jump but it was the best decision they ever made,False,en,1,0,2021-02-25 20:35:40,1365037769530241024,"['know', 'riverdale', 'decided', 'time', 'jump', 'best', 'decision', 'ever', 'made']",know riverdale decided time jump best decision ever made
"Still getting used to this time jump lol 

#Riverdale",False,en,0,0,2021-02-25 20:26:50,1365035550298828803,"['still', 'getting', 'used', 'time', 'jump', 'lol', 'riverdale']",still getting used time jump lol riverdale
"RT @TV_Fanatic_Girl: Why #Riverdale's time jump is exactly what we need right now!

What we know about the new #mystery so far:
https://t.c…",False,en,0,4,2021-02-25 19:54:05,1365027305396064256,"['riverdale', 'time', 'jump', 'exactly', 'need', 'right', 'know', 'new', 'mystery', 'far']",riverdale time jump exactly need right know new mystery far
Mark Consuelos (@markconsuelos) talks briefly about Hiram Lodge's trek seven years into the future in this behind the scenes look at #Riverdale season five. Watch new episodes Wednesdays on #TheCW https://t.co/kFBErC2UKr https://t.co/04skdTTT4V,False,en,0,0,2021-02-25 19:24:02,1365019744705925121,"['mark', 'consuelos', 'talks', 'briefly', 'hiram', 'lodge', 'trek', 'seven', 'years', 'future', 'behind', 'scenes', 'look', 'riverdale', 'season', 'five', 'watch', 'new', 'episodes', 'wednesdays', 'thecw']",mark consuelos talks briefly hiram lodge trek seven years future behind scenes look riverdale season five watch new episodes wednesdays thecw
@JuliDG both atr great.i am really enjoying post time jump on riverdale.barchie finally.toni being treated as main character she is like one of core 5 now and now using vixens to start road to Choni reunion,False,en,1,0,2021-02-25 19:14:17,1365017289637167110,"['atr', 'great', 'really', 'enjoying', 'post', 'time', 'jump', 'riverdale', 'barchie', 'finally', 'toni', 'treated', 'main', 'character', 'like', 'one', 'core', '5', 'using', 'vixens', 'start', 'road', 'choni', 'reunion']",atr great really enjoying post time jump riverdale barchie finally toni treated main character like one core 5 using vixens start road choni reunion
