tweets,quote_status,language,favorite_count,retweet_count,time,id,processed_text,cleaned_tweets,neg,neu,pos
@versarchies which varchie? they all act the same to me,False,en,0,0,2021-02-21 01:25:15,1363298709182808068,"['varchie', 'act']", which varchie? they all act the same to me,0.00,0.00,1.00
RT @VARCHIEWHORE: #VARCHIE: love me again. https://t.co/56ff8ico1y,False,en,0,32,2021-02-21 01:25:07,1363298674441216000,"['varchie', 'love']",rt : varchie: love me again. ,0.25,0.00,0.75
@MRSSPR0USE OH YEAH VARCHIE DOESNT FIND THE GUN REMEMBER CAUSE IT WAS PLANTED,False,en,1,0,2021-02-21 01:12:01,1363295376934113284,"['oh', 'yeah', 'varchie', 'doesnt', 'find', 'gun', 'remember', 'cause', 'planted']", oh yeah varchie doesnt find the gun remember cause it was planted,0.00,0.00,1.00
@xsvarchie @VarchiePolls Y’all I think the flowers might be in a vase,False,en,2,0,2021-02-21 00:53:07,1363290621222522881,"['think', 'flowers', 'might', 'vase']",  y’all i think the flowers might be in a vase,0.00,0.00,1.00
RT @bugverchoni: ITS THE SAME JACKET DONT YOU GET IT? VARCHIE ENDGAME https://t.co/s9gsp3HVNM,False,en,0,24,2021-02-21 00:44:26,1363288437818859521,"['jacket', 'dont', 'get', 'varchie', 'endgame']",rt : its the same jacket dont you get it? varchie endgame ,0.09,0.00,0.91
Varchie’s songs playing in the background are always so beautiful 😌😌 I have no more words except to say that.,False,en,8,0,2021-02-21 00:43:22,1363288168548687875,"['varchie', 'songs', 'playing', 'background', 'always', 'beautiful', 'words', 'except', 'say']",varchie’s songs playing in the background are always so beautiful :relieved face::relieved face: i have no more words except to say that.,0.05,0.00,0.95
RT @hereforvarchie: 7 years later and it's still the last REAL relationship he had. #varchie ❤️  #riverdale intrigued to see when Archie ge…,False,en,0,2,2021-02-21 00:43:19,1363288155764441089,"['7', 'years', 'later', 'still', 'last', 'real', 'relationship', 'varchie', 'riverdale', 'intrigued', 'see', 'archie', 'ge']",rt : 7 years later and it's still the last real relationship he had. varchie :red heart:  riverdale intrigued to see when archie ge…,0.00,0.00,1.00
sad about my varchie https://t.co/TM5zOnSG7j,True,en,13,0,2021-02-21 00:29:44,1363284737708687362,"['sad', 'varchie']",sad about my varchie ,0.00,0.00,1.00
@archsronnie @barcheated When did Kj say varchie endgame?,False,en,3,0,2021-02-21 00:16:36,1363281430189604864,"['kj', 'say', 'varchie', 'endgame']",  when did kj say varchie endgame?,0.17,0.00,0.83
IT REMINDED ME OF VARCHIE NOW IM CRYING I DO NOT RECOMMEND. https://t.co/zq0KiiuTbz,True,en,0,0,2021-02-21 00:14:32,1363280909949161476,"['reminded', 'varchie', 'im', 'crying', 'recommend']",it reminded me of varchie now im crying i do not recommend. ,0.00,0.00,1.00
